,autosomal recessive nonsyndromic hearing loss 7,Bardet-Biedl syndrome 1,peroxisome biogenesis disorder 1A (Zellweger),Leigh syndrome,"mitochondrial complex I deficiency, nuclear type 1",Coffin-Siris syndrome 1,Leber congenital amaurosis 6,CBL-related disorder,DKC1-related disorder,"mitochondrial complex IV deficiency, nuclear type 1",Rett syndrome,Wolcott-Rallison syndrome,Leber congenital amaurosis 1,very long chain acyl-CoA dehydrogenase deficiency,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1",autism,Warburg micro syndrome 1,syndromic intellectual disability,AIDS-related disorder,WFS1-related disorder,peroxisome biogenesis disorder 2B,mucosulfatidosis
autosomal recessive nonsyndromic hearing loss 7,1.0,0.021739130434782608,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.025
Bardet-Biedl syndrome 1,0.021739130434782608,1.0,0.0673076923076923,0.06666666666666667,0.07317073170731707,0.0782608695652174,0.0,0.029850746268656716,0.05555555555555555,0.0379746835443038,0.05063291139240506,0.047619047619047616,0.0,0.03076923076923077,0.043478260869565216,0.034482758620689655,0.05263157894736842,0.06451612903225806,0.019230769230769232,0.037037037037037035,0.034482758620689655,0.06329113924050633
peroxisome biogenesis disorder 1A (Zellweger),0.0,0.0673076923076923,1.0,0.09782608695652174,0.07920792079207921,0.09848484848484848,0.0,0.046511627906976744,0.02631578947368421,0.09574468085106383,0.04,0.06862745098039216,0.0,0.03529411764705882,0.06363636363636363,0.02531645569620253,0.07446808510638298,0.03571428571428571,0.0136986301369863,0.02666666666666667,0.08,0.05
Leigh syndrome,0.0,0.06666666666666667,0.09782608695652174,1.0,0.25806451612903225,0.07547169811320754,0.0,0.07272727272727272,0.09302325581395349,0.2413793103448276,0.10606060606060606,0.0684931506849315,0.0,0.09615384615384616,0.06172839506172839,0.041666666666666664,0.12903225806451613,0.07692307692307693,0.04878048780487805,0.06976744186046512,0.06382978723404255,0.08823529411764706
"mitochondrial complex I deficiency, nuclear type 1",0.0,0.07317073170731707,0.07920792079207921,0.25806451612903225,1.0,0.07017543859649122,0.0,0.06349206349206349,0.0784313725490196,0.19402985074626866,0.1095890410958904,0.06172839506172839,0.0,0.1206896551724138,0.056179775280898875,0.017543859649122806,0.09859154929577464,0.10344827586206896,0.04081632653061224,0.08,0.03571428571428571,0.06493506493506493
Coffin-Siris syndrome 1,0.0125,0.0782608695652174,0.09848484848484848,0.07547169811320754,0.07017543859649122,1.0,0.0,0.061855670103092786,0.04597701149425287,0.05454545454545454,0.08333333333333333,0.07964601769911504,0.0,0.041237113402061855,0.06557377049180328,0.021739130434782608,0.09615384615384616,0.07526881720430108,0.011627906976744186,0.058823529411764705,0.03296703296703297,0.09259259259259259
Leber congenital amaurosis 6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.07692307692307693,0.058823529411764705,0.0
CBL-related disorder,0.0,0.029850746268656716,0.046511627906976744,0.07272727272727272,0.06349206349206349,0.061855670103092786,0.0,1.0,0.09090909090909091,0.05172413793103448,0.10714285714285714,0.06349206349206349,0.0,0.045454545454545456,0.07142857142857142,0.05405405405405406,0.11320754716981132,0.15384615384615385,0.10344827586206896,0.20689655172413793,0.02631578947368421,0.05
DKC1-related disorder,0.0,0.05555555555555555,0.02631578947368421,0.09302325581395349,0.0784313725490196,0.04597701149425287,0.0,0.09090909090909091,1.0,0.08888888888888889,0.08695652173913043,0.03773584905660377,0.0,0.0625,0.08620689655172414,0.08,0.044444444444444446,0.1,0.05263157894736842,0.15,0.08,0.04081632653061224
"mitochondrial complex IV deficiency, nuclear type 1",0.0,0.0379746835443038,0.09574468085106383,0.2413793103448276,0.19402985074626866,0.05454545454545454,0.0,0.05172413793103448,0.08888888888888889,1.0,0.056338028169014086,0.05263157894736842,0.0,0.09259259259259259,0.023255813953488372,0.04,0.1076923076923077,0.05454545454545454,0.022727272727272728,0.043478260869565216,0.061224489795918366,0.05555555555555555
Rett syndrome,0.0,0.05063291139240506,0.04,0.10606060606060606,0.1095890410958904,0.08333333333333333,0.025,0.10714285714285714,0.08695652173913043,0.056338028169014086,1.0,0.08,0.0,0.034482758620689655,0.047058823529411764,0.08163265306122448,0.10606060606060606,0.18,0.045454545454545456,0.13953488372093023,0.08163265306122448,0.08450704225352113
