,Global developmental delay,Intellectual disability,Seizure,Delayed speech and language de,Hypotonia,Microcephaly,Autosomal recessive inheritanc,Failure to thrive,Delayed gross motor developmen,Autosomal dominant inheritance,Short stature,Abnormal facial shape,Spasticity,Ataxia,Asthenia,Muscle weakness,Developmental regression,Nystagmus,Hypertelorism,Scoliosis
Global developmental delay,0,210,381,164,332,266,192,223,61,52,92,117,125,112,24,34,64,100,64,45
Intellectual disability,210,0,394,488,281,288,232,206,341,80,131,98,118,128,36,48,73,92,85,77
Seizure,381,394,0,279,289,267,222,221,199,56,84,57,143,113,23,47,108,102,78,59
Delayed speech and language de,164,488,279,0,253,248,42,227,525,20,52,84,106,72,54,51,98,44,40,25
Hypotonia,332,281,289,253,0,232,166,278,280,36,72,88,72,82,97,105,78,88,72,56
Microcephaly,266,288,267,248,232,0,122,235,223,41,120,73,95,36,23,30,50,48,59,53
Autosomal recessive inheritanc,192,232,222,42,166,122,0,134,8,30,118,21,66,125,0,44,27,130,80,66
Failure to thrive,223,206,221,227,278,235,134,0,212,20,73,74,96,48,39,53,44,61,57,25
Delayed gross motor developmen,61,341,199,525,280,223,8,212,0,4,26,63,99,36,63,63,83,24,25,11
Autosomal dominant inheritance,52,80,56,20,36,41,30,20,4,0,65,3,11,11,0,6,2,23,62,53
Short stature,92,131,84,52,72,120,118,73,26,65,0,34,22,16,9,17,12,31,61,57
Abnormal facial shape,117,98,57,84,88,73,21,74,63,3,34,0,15,5,6,9,11,8,27,8
Spasticity,125,118,143,106,72,95,66,96,99,11,22,15,0,59,31,39,71,55,10,17
Ataxia,112,128,113,72,82,36,125,48,36,11,16,5,59,0,15,34,35,76,8,4
Asthenia,24,36,23,54,97,23,0,39,63,0,9,6,31,15,0,248,13,1,4,25
Muscle weakness,34,48,47,51,105,30,44,53,63,6,17,9,39,34,248,0,22,18,6,22
Developmental regression,64,73,108,98,78,50,27,44,83,2,12,11,71,35,13,22,0,37,6,8
Nystagmus,100,92,102,44,88,48,130,61,24,23,31,8,55,76,1,18,37,0,30,17
Hypertelorism,64,85,78,40,72,59,80,57,25,62,61,27,10,8,4,6,6,30,0,41
Scoliosis,45,77,59,25,56,53,66,25,11,53,57,8,17,4,25,22,8,17,41,0
